BloomTicker;YahooFinanceTicker
SU FP;SU.PA
ENGI FP;ENGI.PA
DBK GY;DBK.DE
BBVA SM-TMP;
BAS GY;BAS.DE
NOKIA FH;NOKIA.HE
EL FP;EL.PA
G IM;G.MI
UNAT NA;UNAT.AS
ISP IM;ISP.MI
INGA NA;INGA.AS
DG FP;DG.PA
ORA FP;ORA.PA
BMW GY;BMW.DE
ENEL IM;ENEL.MI
UCG IM;UCG.MI
EOAN GY;EOAN.DE
ENI IM;ENI.MI
SAF FP;SAF.PA
MBG GY;MBG.DE
BAYN GY;BAYN.DE
UL NA;UL.AS
DTE GY;DTE.DE
ITX SM;ITX.MC
SGO FP;SGO.PA
VIV FP;VIV.PA
BNP FP;BNP.PA
ALV GY;ALV.DE
CA FP;CA.PA
DPW GY;DPW.DE
PHIA NA;PHIA.AS
AIR FP;AIR.PA
SAN SM-TMP;
ABIT BB;ABIT.BR
IBE SM;IBE.MC
SIE GY;SIE.DE
FRE GY;FRE.DE
AI FP;AI.PA
GLE FP;GLE.PA
CS FP;CS.PA
TEF SM-TMP;
BN FP;BN.PA
SAP GY;SAP.DE
VOW3 GY;VOW3.DE
MUV2 GY;MUV2.DE
TTE FP;TTE.PA
SAN FP;SAN.PA
OR FP;OR.PA
MC FP;MC.PA
ASML NA;ASML.AS
REP SM;REP.MC
RWE GY;RWE.DE
CRH ID;CRH ID
AD NA;AD.AS
ABI BB;ABI.BR
ADS GY;ADS.DE
UN01 GY;UN01.DE
ITX SQ;ITX SQ
BBVA SQ;BBVA SQ
TEF SQ;TEF SQ
SAN SQ;SAN SQ
IBE SQ;IBE SQ
KER FP;KER.PA
URW NA;URW.AS
LIN GY;LIN.DE
AMS SQ;AMS SQ
DUMMYLIN GY;DUMMYLIN.DE
LINU GY;LINU.DE
DB1 GY;DB1.DE
ADYEN NA;ADYEN.AS
FLTR ID;FLTR ID
RI FP;RI.PA
PRX NA;PRX.AS
KNEBV FH;KNEBV.HE
VNA GY;VNA.DE
ENR GY;ENR.DE
IFX GY;IFX.DE
STLA IM;STLA.MI
RMS FP;RMS.PA
UMG NA;UMG.AS
DTG GY;DTG.DE
NDA FH;NDA-FI.HE
EAPI FP;EAPI.PA
